a	0	1.6	512	1	0	0
a	0	3.2	1024	2	0	0
a	0	4.8	1536	3	0	0
d	0	4.8	1024	2	0	0
a	0	6.4	1536	3	0	0
a	0	8	2048	4	0	0
a	0	9.6	2560	5	0	0
d	0	10.1	2048	4	0	0
a	0	11.2	2560	5	0	0
a	0	12.8	3072	6	0	0
a	0	14.4	3584	7	0	0
a	0	16	4096	8	0	0
d	0	17	3584	7	0	0
a	0	17.6	4096	8	0	0
a	0	19.2	4608	9	0	0
a	0	20.8	5120	10	0	0
a	0	22.4	5632	11	0	0
a	0	24	5632	11	512	1
d	0	25.5	5120	10	512	1
a	0	25.6	5632	11	512	1
a	0	27.2	5632	11	1024	2
a	0	28.8	5632	11	1536	3
a	0	30.4	5632	11	2048	4
a	0	32	5632	11	2560	5
a	0	33.6	5632	11	3072	6
a	0	35.2	5632	11	3584	7
d	0	35.6	5120	10	3584	7
a	0	36.8	5632	11	3584	7
a	0	38.4	5632	11	4096	8
a	0	40	5632	11	4608	9
a	0	41.6	5632	11	5120	10
a	0	43.2	5632	11	5632	11
a	0	44.8	5632	11	6144	12
a	0	46.4	5632	11	6656	13
d	0	47.3	5120	10	6656	13
a	0	48	5632	11	6656	13
a	0	49.6	5632	11	7168	14
a	0	51.2	5632	11	7680	15
a	0	52.8	5632	11	8192	16
a	0	54.4	5632	11	8704	17
a	0	56	5632	11	9216	18
a	0	57.6	5632	11	9728	19
a	0	59.2	5632	11	10240	20
d	0	60.6	5120	10	10240	20
a	0	60.8	5632	11	10240	20
a	0	62.4	5632	11	10752	21
a	0	64	5632	11	11264	22
a	0	65.6	5632	11	11776	23
a	0	67.2	5632	11	12288	24
a	0	68.8	5632	11	12800	25
a	0	70.4	5632	11	13312	26
a	0	72	5632	11	13824	27
a	0	73.6	5632	11	14336	28
a	0	75.2	5632	11	14848	29
d	0	75.5	5120	10	14848	29
a	0	76.8	5632	11	14848	29
a	0	78.4	5632	11	15360	30
a	0	80	5632	11	15872	31
a	0	81.6	5632	11	16384	32
a	0	83.2	5632	11	16896	33
a	0	84.8	5632	11	17408	34
a	0	86.3999999999999	5632	11	17920	35
a	0	87.9999999999999	5632	11	18432	36
a	0	89.5999999999999	5632	11	18944	37
a	0	91.1999999999999	5632	11	19456	38
d	0	92	5120	10	19456	38
a	0	92.7999999999999	5632	11	19456	38
a	0	94.3999999999999	5632	11	19968	39
a	0	95.9999999999999	5632	11	20480	40
a	0	97.5999999999999	5632	11	20992	41
a	0	99.1999999999999	5632	11	21504	42
a	0	100.8	5632	11	22016	43
a	0	102.4	5632	11	22528	44
a	0	104	5632	11	23040	45
a	0	105.6	5632	11	23552	46
a	0	107.2	5632	11	24064	47
a	0	108.8	5632	11	24576	48
d	0	110.1	5120	10	24576	48
a	0	110.4	5632	11	24576	48
a	0	112	5632	11	25088	49
a	0	113.6	5632	11	25600	50
a	0	115.2	5632	11	26112	51
a	0	116.8	5632	11	26624	52
a	0	118.4	5632	11	27136	53
a	0	120	5632	11	27648	54
a	0	121.6	5632	11	28160	55
a	0	123.2	5632	11	28672	56
a	0	124.8	5632	11	29184	57
a	0	126.4	5632	11	29696	58
a	0	128	5632	11	30208	59
a	0	129.6	5632	11	30720	60
d	0	129.8	5120	10	30720	60
a	0	131.2	5632	11	30720	60
a	0	132.8	5632	11	31232	61
a	0	134.4	5632	11	31744	62
a	0	136	5632	11	32256	63
a	0	137.6	5632	11	32768	64
a	0	139.2	5632	11	33280	65
a	0	140.8	5632	11	33792	66
a	0	142.4	5632	11	34304	67
a	0	144	5632	11	34816	68
a	0	145.6	5632	11	35328	69
a	0	147.2	5632	11	35840	70
a	0	148.8	5632	11	36352	71
a	0	150.4	5632	11	36864	72
d	0	151.1	5120	10	36864	72
a	0	152	5632	11	36864	72
a	0	153.6	5632	11	37376	73
a	0	155.2	5632	11	37888	74
a	0	156.8	5632	11	38400	75
a	0	158.4	5632	11	38912	76
a	0	160	5632	11	39424	77
d	0	174	5120	10	39424	77
d	0	198.5	4608	9	39424	77
d	0	224.6	4096	8	39424	77
d	0	252.3	3584	7	39424	77
d	0	281.6	3072	6	39424	77
d	0	312.5	2560	5	39424	77
d	0	345	2048	4	39424	77
d	0	379.1	1536	3	39424	77
d	0	414.8	1024	2	39424	77
d	0	452.1	512	1	39424	77
d	0	491	0	0	39424	77
d	0	531.5	0	0	39424	77
d	0	573.6	0	0	39424	77
d	0	617.3	0	0	39424	77
d	0	662.6	0	0	39424	77
d	0	709.5	0	0	39424	77
d	0	758	0	0	39424	77
d	0	808.1	0	0	39424	77
d	0	859.8	0	0	39424	77
d	0	913.1	0	0	39424	77
d	0	968	0	0	39424	77
d	0	1024.5	0	0	39424	77
d	0	1082.6	0	0	39424	77
d	0	1142.3	0	0	39424	77
d	0	1203.6	0	0	39424	77
d	0	1266.5	0	0	39424	77
d	0	1331	0	0	39424	77
d	0	1397.1	0	0	39424	77
d	0	1464.8	0	0	39424	77
d	0	1534.1	0	0	39424	77
d	0	1605	0	0	39424	77
d	0	1677.5	0	0	39424	77
d	0	1751.6	0	0	39424	77
d	0	1827.3	0	0	39424	77
d	0	1904.6	0	0	39424	77
d	0	1983.5	0	0	39424	77
d	0	2064	0	0	39424	77
d	0	2146.1	0	0	39424	77
d	0	2229.8	0	0	39424	77
d	0	2315.1	0	0	39424	77
d	0	2402	0	0	39424	77
d	0	2490.5	0	0	39424	77
d	0	2580.6	0	0	39424	77
d	0	2672.3	0	0	39424	77
d	0	2765.6	0	0	39424	77
d	0	2860.5	0	0	39424	77
d	0	2957	0	0	39424	77
d	0	3055.1	0	0	39424	77
d	0	3154.8	0	0	39424	77
d	0	3256.1	0	0	39424	77
d	0	3359	0	0	39424	77
d	0	3463.5	0	0	39424	77
d	0	3569.6	0	0	39424	77
d	0	3677.3	0	0	39424	77
d	0	3786.6	0	0	39424	77
d	0	3897.5	0	0	39424	77
d	0	4010	0	0	39424	77
d	0	4124.1	0	0	39424	77
d	0	4239.8	0	0	39424	77
d	0	4357.1	0	0	39424	77
d	0	4476	0	0	39424	77
d	0	4596.5	0	0	39424	77
d	0	4718.6	0	0	39424	77
d	0	4842.3	0	0	39424	77
d	0	4967.6	0	0	39424	77
d	0	5094.5	0	0	39424	77
d	0	5223	0	0	39424	77
d	0	5353.1	0	0	39424	77
d	0	5484.8	0	0	39424	77
d	0	5618.1	0	0	39424	77
d	0	5753	0	0	39424	77
d	0	5889.5	0	0	39424	77
d	0	6027.6	0	0	39424	77
d	0	6167.3	0	0	39424	77
d	0	6308.6	0	0	39424	77
d	0	6451.5	0	0	39424	77
d	0	6596	0	0	39424	77
d	0	6742.09999999999	0	0	39424	77
d	0	6889.79999999999	0	0	39424	77
d	0	7039.09999999999	0	0	39424	77
d	0	7189.99999999999	0	0	39424	77
d	0	7342.49999999999	0	0	39424	77
d	0	7496.59999999999	0	0	39424	77
d	0	7652.29999999999	0	0	39424	77
d	0	7809.59999999999	0	0	39424	77
d	0	7968.49999999999	0	0	39424	77
d	0	8128.99999999999	0	0	39424	77
d	0	8291.09999999999	0	0	39424	77
