a	0	0.2	64	1	0	0
a	0	0.4	128	2	0	0
a	0	0.6	192	3	0	0
d	0	0.6	128	2	0	0
a	0	0.8	192	3	0	0
a	0	1	256	4	0	0
d	0	1.1	192	3	0	0
a	0	1.2	256	4	0	0
a	0	1.4	320	5	0	0
a	0	1.6	384	6	0	0
d	0	1.6	320	5	0	0
a	0	1.8	384	6	0	0
a	0	2	448	7	0	0
d	0	2.1	384	6	0	0
a	0	2.2	448	7	0	0
a	0	2.4	512	8	0	0
a	0	2.6	576	9	0	0
d	0	2.6	512	8	0	0
a	0	2.8	576	9	0	0
a	0	3	640	10	0	0
d	0	3.1	576	9	0	0
a	0	3.2	640	10	0	0
a	0	3.4	704	11	0	0
d	0	3.6	640	10	0	0
a	0	3.6	704	11	0	0
a	0	3.8	768	12	0	0
a	0	4	832	13	0	0
d	0	4.1	768	12	0	0
a	0	4.2	832	13	0	0
a	0	4.4	896	14	0	0
d	0	4.6	832	13	0	0
a	0	4.6	896	14	0	0
a	0	4.8	960	15	0	0
a	0	5	1024	16	0	0
d	0	5.1	960	15	0	0
a	0	5.2	1024	16	0	0
a	0	5.4	1088	17	0	0
d	0	5.6	1024	16	0	0
a	0	5.6	1088	17	0	0
a	0	5.8	1152	18	0	0
a	0	6	1216	19	0	0
d	0	6.1	1152	18	0	0
a	0	6.2	1216	19	0	0
a	0	6.4	1280	20	0	0
d	0	6.6	1216	19	0	0
a	0	6.6	1280	20	0	0
a	0	6.8	1344	21	0	0
a	0	7	1408	22	0	0
d	0	7.1	1344	21	0	0
a	0	7.2	1408	22	0	0
a	0	7.4	1472	23	0	0
d	0	7.6	1408	22	0	0
a	0	7.6	1472	23	0	0
a	0	7.8	1536	24	0	0
a	0	8	1600	25	0	0
d	0	8.1	1536	24	0	0
a	0	8.2	1600	25	0	0
a	0	8.4	1664	26	0	0
d	0	8.6	1600	25	0	0
a	0	8.6	1664	26	0	0
a	0	8.8	1728	27	0	0
a	0	9	1792	28	0	0
d	0	9.1	1728	27	0	0
