a	0.333333333333	64	0
a	0.666666666667	128	0
d	0.666666666667	64	0
a	1.0	128	0
d	1.0	64	0
a	1.33333333333	128	0
d	1.33333333333	64	0
a	1.66666666667	128	0
d	1.66666666667	64	0
a	2.0	128	0
d	2.0	64	0
a	2.33333333333	128	0
d	2.33333333333	64	0
a	2.66666666667	128	0
d	2.66666666667	64	0
a	3.0	128	0
d	3.0	64	0
a	3.33333333333	128	0
d	3.33333333333	64	0
a	3.66666666667	128	0
d	3.66666666667	64	0
a	4.0	128	0
d	4.0	64	0
a	4.33333333333	128	0
d	4.33333333333	64	0
a	4.66666666667	128	0
d	4.66666666667	64	0
a	5.0	128	0
d	5.0	64	0
a	5.33333333333	128	0
d	5.33333333333	64	0
a	5.66666666667	128	0
d	5.66666666667	64	0
a	6.0	128	0
d	6.0	64	0
a	6.33333333333	128	0
d	6.33333333333	64	0
a	6.66666666667	128	0
d	6.66666666667	64	0
a	7.0	128	0
d	7.0	64	0
a	7.33333333333	128	0
d	7.33333333333	64	0
a	7.66666666667	128	0
d	7.66666666667	64	0
a	8.0	128	0
d	8.0	64	0
a	8.33333333333	128	0
d	8.33333333333	64	0
a	8.66666666667	128	0
d	8.66666666667	64	0
a	9.0	128	0
d	9.0	64	0
a	9.33333333333	128	0
d	9.33333333333	64	0
a	9.66666666667	128	0
d	9.66666666667	64	0
a	10.0	128	0
d	10.0	64	0
a	10.3333333333	128	0
d	10.3333333333	64	0
a	10.6666666667	128	0
d	10.6666666667	64	0
a	11.0	128	0
d	11.0	64	0
a	11.3333333333	128	0
d	11.3333333333	64	0
a	11.6666666667	128	0
d	11.6666666667	64	0
a	12.0	128	0
d	12.0	64	0
a	12.3333333333	128	0
d	12.3333333333	64	0
a	12.6666666667	128	0
d	12.6666666667	64	0
a	13.0	128	0
d	13.0	64	0
a	13.3333333333	128	0
d	13.3333333333	64	0
a	13.6666666667	128	0
d	13.6666666667	64	0
a	14.0	128	0
d	14.0	64	0
a	14.3333333333	128	0
d	14.3333333333	64	0
a	14.6666666667	128	0
d	14.6666666667	64	0
a	15.0	128	0
d	15.0	64	0
a	15.3333333333	128	0
d	15.3333333333	64	0
a	15.6666666667	128	0
d	15.6666666667	64	0
a	16.0	128	0
d	16.0	64	0
a	16.3333333333	128	0
d	16.3333333333	64	0
a	16.6666666667	128	0
d	16.6666666667	64	0
a	17.0	128	0
d	17.0	64	0
a	17.3333333333	128	0
d	17.3333333333	64	0
a	17.6666666667	128	0
d	17.6666666667	64	0
a	18.0	128	0
d	18.0	64	0
a	18.3333333333	128	0
d	18.3333333333	64	0
a	18.6666666667	128	0
d	18.6666666667	64	0
a	19.0	128	0
d	19.0	64	0
a	19.3333333333	128	0
d	19.3333333333	64	0
a	19.6666666667	128	0
d	19.6666666667	64	0
a	20.0	128	0
d	20.0	64	0
a	20.3333333333	128	0
d	20.3333333333	64	0
a	20.6666666667	128	0
d	20.6666666667	64	0
a	21.0	128	0
d	21.0	64	0
a	21.3333333333	128	0
d	21.3333333333	64	0
a	21.6666666667	128	0
d	21.6666666667	64	0
a	22.0	128	0
d	22.0	64	0
a	22.3333333333	128	0
d	22.3333333333	64	0
a	22.6666666667	128	0
d	22.6666666667	64	0
a	23.0	128	0
d	23.0	64	0
a	23.3333333333	128	0
d	23.3333333333	64	0
a	23.6666666667	128	0
d	23.6666666667	64	0
a	24.0	128	0
d	24.0	64	0
a	24.3333333333	128	0
d	24.3333333333	64	0
a	24.6666666667	128	0
d	24.6666666667	64	0
a	25.0	128	0
d	25.0	64	0
a	25.3333333333	128	0
d	25.3333333333	64	0
a	25.6666666667	128	0
d	25.6666666667	64	0
a	26.0	128	0
d	26.0	64	0
a	26.3333333333	128	0
d	26.3333333333	64	0
a	26.6666666667	128	0
d	26.6666666667	64	0
a	27.0	128	0
d	27.0	64	0
a	27.3333333333	128	0
d	27.3333333333	64	0
a	27.6666666667	128	0
d	27.6666666667	64	0
a	28.0	128	0
d	28.0	64	0
a	28.3333333333	128	0
d	28.3333333333	64	0
a	28.6666666667	128	0
d	28.6666666667	64	0
a	29.0	128	0
d	29.0	64	0
a	29.3333333333	128	0
d	29.3333333333	64	0
a	29.6666666667	128	0
d	29.6666666667	64	0
a	30.0	128	0
d	30.0	64	0
a	30.3333333333	128	0
d	30.3333333333	64	0
a	30.6666666667	128	0
d	30.6666666667	64	0
a	31.0	128	0
d	31.0	64	0
a	31.3333333333	128	0
d	31.3333333333	64	0
a	31.6666666667	128	0
d	31.6666666667	64	0
a	32.0	128	0
d	32.0	64	0
a	32.3333333333	128	0
d	32.3333333333	64	0
a	32.6666666667	128	0
d	32.6666666667	64	0
a	33.0	128	0
d	33.0	64	0
a	33.3333333333	128	0
d	33.3333333333	64	0
d	33.6666666667	0	0
